genres
bergamo indie
italian indie pop
italian pop
milan indie
italian hip hop
r&b italiano
italian adult pop
italian underground hip hop
rap napoletano
trap italiana
trap latino
rap genovese
rome indie
indie folk italiano
turin indie
Without Genre
indie liguria
cumbia 420
rkt
drill espanol
flamenco urbano
urbano espanol
urbano latino
gaming dubstep
dance pop
deep groove house
house
pop dance
uk dance
rap sardegna
pop
pop rap
colombian pop
latin pop
big room
edm
europop
funk carioca
permanent wave
classic italian pop
k-pop
k-pop boy group
italian alternative
italian reggae
fidget house
post-teen pop
pop virale italiano
modern alternative pop
indie rock italiano
latin hip hop
reggaeton
reggaeton flow
metropopolis
modern rock
belgian edm
electro house
tropical house
neo mellow
indie siciliano
argentine hip hop
pop venezolano
trap argentino
rap canario
electropop
gauze pop
indietronica
shiver pop
bossbeat
epicore
modern alternative rock
orchestral soundtrack
soundtrack
bow pop
rebel blues
speedrun
norwegian metal
prog metal
progressive metal
danish alternative rock
pixie
eurobeat
super eurobeat
indie poptimism
la pop
alt z
acoustic cover
viral pop
indie electropop
brooklyn drill
nyc rap
cologne indie
german singer-songwriter
rap siciliano
modern indie pop
bass house
ukg revival
moombahton
alternative metal
canadian rock
funk metal
nu metal
post-grunge
rap rock
rap
nottingham hip hop
deep rai
jump up
uk dnb
uk alternative hip hop
boston hip hop
hip hop
conscious hip hop
north carolina hip hop
rap espanol
rap politico
rap underground espanol
alternative hip hop
detroit hip hop
gangster rap
hardcore hip hop
southern hip hop
new orleans rap
trap
r&b
trap soul
urban contemporary
emo rap
miami hip hop
chicago rap
chill drill
grime
welsh hip hop
birmingham grime
birmingham hip hop
melodic rap
slap house
ohio hip hop
atl hip hop
atl trap
french dub
french reggae
old school dancehall
west coast rap
g funk
melodic drill
uk drill
alternative rock
rock
supergroup
dirty south rap
canadian hip hop
canadian pop
toronto rap
country dawn
texas country
hollywood
movie tunes
trap metal italiana
dmv rap
pittsburgh rap
irish rock
northern irish indie
sad rap
east coast hip hop
queens hip hop
aussietronica
solo wave
pop edm
estonian electronic
estonian pop
reggaeton colombiano
hip pop
puerto rican pop
celtic rock
pop rock
brostep
dutch edm
trance
latin talent show
spanish pop
cali rap
progressive house
uk pop
scandipop
uk contemporary r&b
lgbtq+ hip hop
deep underground hip hop
kentucky hip hop
gen z singer-songwriter
escape room
neo soul
rap latina
francoton
glam rock
mellow gold
piano rock
alternative dance
australian dance
australian electropop
dembow
dominican pop
rap dominicano
video game music
talent show
danish pop
dance rock
crunk
memphis hip hop
dancehall
uk funky
swedish electropop
swedish pop
panamanian pop
r&b en espanol
drill italiana
trap boricua
bachata
deep talent show
pop house
folk-pop
irish pop
canadian contemporary r&b
latin viral pop
dutch house
deep dance pop
dfw rap
pop reggaeton
lo-fi chill
sad lo-fi
emo rap italiano
hyperpop
gaming edm
pop violin
brighton indie
bedroom pop
indie pop
afrofuturism
album rock
classic rock
country rock
folk rock
heartland rock
singer-songwriter
soft rock
yacht rock
beatlesque
britpop
madchester
melodic metalcore
metalcore
uk metalcore
glitchcore
proto-hyperpop
italian pop rock
seattle hip hop
emo trap italiana
vocal house
latin arena pop
mexican pop
deep house
nu disco
dutch pop
acoustic pop
new romantic
new wave
new wave pop
sophisti-pop
synthpop
folk
british soul
pop soul
art pop
classic soul
disco
funk
post-disco
quiet storm
soul
german hip hop
spanish hip hop
french hip hop
pop urbaine
rap conscient
arabic hip hop
rap algerien
rap francais
canadian trap
rap tunisien
drill francais
electronic trap
indonesian hip hop
instrumental grime
afro dancehall
afropop
azonto
nigerian hip hop
nigerian pop
new french touch
big beat
downtempo
electronica
trip hop
turntablism
old school rap francais
rai
uk hip hop
microhouse
uk bass
wonky
classic tunisian pop
tunisian pop
old school atlanta hip hop
viral rap
arab pop
belly dance
egyptian pop
persian pop
rif
new rave
lebanese pop
manchester hip hop
rap marseille
kabyle
footwork
future bass
glitch
glitch hop
halftime dnb
intelligent dance music
minimal dnb
vapor twitch
moroccan pop
rap maroc
underground hip hop
psychedelic hip hop
belgian hip hop
rap calme
grunge
viral trap
fantasy
classic arab pop
egyptian hip hop
egyptian trap
mahraganat
bass trap
detroit trap
rhode island rap
livetronica
ukrainian electronic
contemporary country
country
country road
russian dance
russian hip hop
vapor trap
oc rap
aesthetic rap
dark trap
neo-psychedelic
modern blues
upstate ny rap
alternative r&b
trap queen
new york drill
french tech house
french techno
american melodeath
deathcore
melodic deathcore
brutal death metal
death metal
german death metal
technical death metal
turkish death metal
progressive deathcore
symphonic deathcore
comic metal
reggae fusion
ska mexicano
ska punk
art rock
melancholia
oxford indie
instrumental rock
metal guitar
neo classical metal
shred
metal
progressive death metal
swedish metal
swedish progressive metal
punk
skate punk
socal pop punk
quebec death metal
modern ska punk
ska
cosmic death metal
denver metal
lovecraftian metal
technical brutal death metal
technical deathcore
technical melodic death metal
jazz metal
progressive technical death metal
sci-fi metal
hardcore punk
melodic hardcore
funk rock
glam metal
hard rock
ann arbor indie
instrumental funk
chicago hardcore
chicago punk
blues rock
palm desert scene
stoner metal
stoner rock
nu-metalcore
christian hardcore
canadian death metal
canadian metal
vancouver metal
french death metal
french metal
blackened deathcore
slamming deathcore
christian metal
finnish melodeath
finnish metal
folk metal
melodic death metal
nordic folk metal
power metal
viking metal
djent
instrumental djent
progressive jazz fusion
russian metal
russian metalcore
italian folk metal
italian power metal
melodic metal
middle earth
tolkien metal
idol rock
j-metal
kawaii metal
dutch metal
gothic metal
gothic symphonic metal
opera metal
symphonic metal
finnish power metal
canadian electropop
grave wave
british indie rock
british power metal
scottish metal
etherpop
comic
pirate
melodic hard rock
modern hard rock
nightrun
swedish melodic rock
celtic metal
deep folk metal
black metal
norwegian black metal
symphonic black metal
canadian metalcore
barbadian pop
mathcore
progressive metalcore
swedish death metal
swedish melodeath
french black metal
melodic dubstep
canadian electronic
black punk
uk diy punk
tennessee metal
deathrash
polish death metal
polish metal
polish thrash metal
finnish death metal
finnish progressive metal
symphonic death metal
hurdy-gurdy
swiss metal
slayer
pittsburgh metal
indie rock
stomp and holler
anti-folk
chamber pop
elephant 6
lo-fi
garage rock
baroque pop
canadian indie
quebec indie
lo-fi indie
noise pop
olympia wa indie
baltimore indie
chillwave
dream pop
experimental pop
freak folk
australian psych
indie folk
seattle indie
albuquerque indie
portland indie
washington indie
emo
pop punk
ambient folk
bubblegrunge
la indie
canadian pop punk
canadian punk
psychedelic rock
welsh rock
punk blues
sheffield indie
modern power pop
scenecore
transpop
london indie
uk post-punk revival
experimental folk
new americana
indie game soundtrack
pixel
spectra
disco house
eau claire indie
socal indie
vegas indie
neo-singer-songwriter
london rap
uk melodic rap
rap lyonnais
frenchcore
rawstyle
xtra raw
eurodance
hip house
australian hip hop
progressive electro house
french pop
neomelodici
drill
hyperpop italiano
mexican classic rock
rock en espanol
tropical
chill pop
modern blues rock
roots rock
electronic rock
german alternative rock
german indie
german rock
swiss indie
rap metal
minimal tech house
cello
cape town indie
south african alternative
south african pop
south african rock
covertronica
french indie pop
argentine alternative rock
argentine indie
electronica argentina
latin rock
pop argentino
italian electronica
neo-classical
oc indie
toronto indie
boy band
denver indie
indie surf
pop nacional
girl group
contemporary r&b
south carolina hip hop
dutch rock
italo dance
dance-punk
adult standards
classic country pop
australian pop
italian tech house
houston rap
bergen indie
nz pop
canadian singer-songwriter
classic canadian rock
anime lo-fi
german hard rock
german metal
future house
pop r&b
irish singer-songwriter
gambian hip hop
rock drums
german dance
classic swedish pop
indie pop rap
oakland hip hop
plugg
